Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Hirschmann Multimedia B.V.;320250530000;000017651530;001132659;Hirschmann Multimedia B.V.;B.V.;H;Ingeschreven;4652;GH elektronische/telecommunicatieapp.;;;;;;Pampuslaan;170;;1382JS;WEESP;Postbus;92;;1380AB;WEESP;Weesp;Noord-Holland;NL;0294;462555;www.hirschmann-multimedia.nl;Bestuurder;D.A.J.;;Kroon;M;;68;50-99;1;J;J;;11/12/69;11/10/69;;11/10/69;12/22/72;;2013;Vastgesteld jaarstuk;PwC;2013;17.170.428;795.868;7.934.881;;ABN AMRO, ING Bank;Hirschmann Multimedia Holding B.V.
Hirschmann Multimedia Holding B.V.;343199990000;000020239521;820221806;Hirschmann Multimedia Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Kudelstaartseweg;150;;1433GN;KUDELSTAART;Pampuslaan;170;;1382JS;WEESP;Aalsmeer;Noord-Holland;NL;;;;;;;;;06-52556951;68;;0;N;N;;12/23/08;12/18/08;;12/18/08;;3/18/13;2013;Vastgesteld jaarstuk;PwC;2013;17.170.428;789.233;8.000.535;;;
Omring Thuisservice B.V.;371226360000;000020381492;815735704;Omring Thuisservice B.V.;B.V.;H;Ingeschreven;8121;Interieurreiniging van gebouwen;88101;Thuiszorg;;;;Nieuwe Steen;36;;1625HV;HOORN;Nieuwe Steen;36;;1625HV;HOORN;Hoorn;Noord-Holland;NL;0229;206706;;;;;;;;521;;0;N;N;;1/6/06;1/6/06;;1/6/06;;;2013;Vastgesteld jaarstuk;KPMG;2013;17.103.490;-778.664;2.028.960;;;Stichting Omring
Damen Shipyards Den Helder B.V.;370471010000;000019255659;006211331;Damen Shipyards Den Helder B.V.;B.V.;H;Ingeschreven;3315;Reparatie en onderhoud van schepen;2562;Algemene metaalbewerking;;;;Zwartepad;1;;1781AH;DEN HELDER;Postbus;114;;1780AC;DEN HELDER;Den Helder;Noord-Holland;NL;0223;616641;www.damendenhelder.nl;Bestuurder;J.;;Loosman;M;;66;50-99;1;J;J;;11/30/82;11/19/82;;11/19/82;11/19/82;10/1/11;2013;Vastgesteld jaarstuk;E&Y;2013;17.082.000;701.000;12.299.000;;ABN AMRO;Damen Shipyards Group N.V.
KMU Verzekeringen N.V.;371457990000;000018741851;820091029;KMU Verzekeringen N.V.;N.V.;H;Ingeschreven;6512;Schadeverzekeringen (geen herverzekeren);;;;;;Havinghastraat;25;;1817DA;ALKMAAR;Postbus;9463;;1800GL;ALKMAAR;Alkmaar;Noord-Holland;NL;072;5350599;www.kmuverzekeringen.nl;Bestuurder;H.;;Franken;M;;3;2-4;0;N;N;;11/12/08;11/21/08;;11/21/08;11/21/08;12/8/14;2013;Vastgesteld jaarstuk;PwC;2013;17.073.000;2.714.000;21.952.000;;;Stichting Verzekeringsactiviteiten Metaalunie
Bulk Packaging Group B.V.;320785700000;000001218069;809070777;Bulk Packaging Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Johannes Vermeerplein;11;;1071DV;AMSTERDAM;Johannes Vermeerplein;11;;1071DV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6717452;;Bestuurder;A.G.;;Starsiak;M;;215;;0;N;N;1;12/13/00;2/29/00;;2/29/00;;10/31/07;2013;;Cooper Parry;2007;17.068.088;-1.723.769;12.740.391;;;
Ortem HoldCo B.V.;342928600000;000018174841;818984004;Ortem HoldCo B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Kabelweg;37;;1014BA;AMSTERDAM;Kabelweg;37;;1014BA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4889720;;;;;;;;;;0;N;N;;1/24/08;1/23/08;;1/23/08;;;2013;Vastgesteld jaarstuk;KPMG;2013;17.025.000;1.680.000;125.937.000;;;
Mattel International Finance B.V.;341618170000;000019818882;810180935;Mattel International Finance B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Gondel;1;2e etage;1186MJ;AMSTELVEEN;Postbus;576;;1180AN;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5030503;;Bestuurder;R.;van den;Polder;M;;;;0;N;N;;9/12/01;9/11/01;;9/11/01;;12/19/03;2012;Vastgesteld jaarstuk;;2012;16.989.497;1.005.241;1.901.605.429;;;
SOS International Amsterdam;331714930000;000017384281;006650892;B.V. Nederlandse Hulpverleningsorganisatie-SOS International;B.V.;H;Ingeschreven;8010;Particuliere beveiliging;6420;Financiële holdings;88999;Overig maatsch.adv./gemeenschapshuizen;Geactiveerd;Hoogoorddreef;58;;1101BE;AMSTERDAM;Postbus;12122;;1100AC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6515151;www.sosinternational.nl;Bestuurder;I.;van;Dijk;M;;175;100-199;1;N;N;;3/4/83;11/17/83;;11/17/83;11/17/83;3/1/83;2013;Vastgesteld jaarstuk;KPMG;2013;16.984.000;799.000;17.874.000;;Rabobank;Stg. Adm.kant. beheer financiële instellingen
Beleggingsfonds De Zonnewijser;q9b3s;;;Beleggingsfonds De Zonnewijser;;;Ingeschreven;;;;;;;;Beethovenstraat;300;;1077WZ;AMSTERDAM;Postbus;75666;;1070AR;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3488910;www.kempen.nl;;;;;;;;;;;;;;;;;;;;;Deloitte;2013;16.970.000;16.341.000;175.881.000;;;
TW Steel B.V.;343160780000;000016152999;820053831;TW Steel B.V.;B.V.;H;Ingeschreven;4648;GH juweliersartikelen en uurwerken;2652;Vervaardiging van uurwerken;;;;Schieland;2;;1948RM;BEVERWIJK;Schieland;2;;1948RM;BEVERWIJK;Beverwijk;Noord-Holland;NL;0251;263020;;Bestuurder;J.;;Cobelens;M;;38;;1;N;N;;11/4/08;10/28/08;;10/28/08;;12/23/09;2012;Vastgesteld jaarstuk;KPMG;2012;16.908.097;1.808.465;20.570.905;;;Stichting Administratiekantoor Tw Steel Group
W2005/W2007 Carnoustie B.V.;342481440000;000019965877;815772877;W2005/W2007 Carnoustie B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Schiphol Boulevard;337;Toren D, 4e;1118BJ;SCHIPHOL;Schiphol Boulevard;337;Toren D, 4e;1118BJ;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;6538854;;;;;;;;;;0;N;N;;5/12/06;5/10/06;;5/10/06;;6/15/11;2013;Vastgesteld jaarstuk;E&Y;2013;16.899.868;-1.958.743;231.805.307;;;
Altran B.V.;341065390000;000017995574;807224984;Altran B.V.;B.V.;H;Ingeschreven;7112;Ingenieurs/overig techn. ontwerp/advies;;;;;Geactiveerd;Walaardt Sacrestraat;405;;1117BM;SCHIPHOL;Walaardt Sacrestraat;405;;1117BM;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;4498390;www.altran.nl;Bestuurder;R.W.;;Lauzin;M;;165;200-499;1;N;N;;11/3/98;12/22/98;;12/22/98;12/22/98;1/1/09;2012;Vastgesteld jaarstuk;Deloitte;2012;16.885.316;-750.832;7.370.166;;ABN AMRO;
PAL 2 B.V.;371464110000;000019646194;820186405;PAL 2 B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Agriport;201;;1775TA;MIDDENMEER;Agriport;201;;1775TA;MIDDENMEER;Hollands Kroon;Noord-Holland;NL;0227;504600;;;;;;;;137;;0;N;N;;12/8/08;12/5/08;;12/5/08;;;2013;Vastgesteld jaarstuk;BDO;2013;16.876.600;254.740;6.305.924;;;
Farinia B.V.;301590620000;000016729692;808781029;Farinia B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Prins Bernhardplein;200;;1097JB;AMSTERDAM;Postbus;990;;1000AZ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5214777;;Bestuurder;J.F.M.;;Guinot;M;;242;;0;N;N;;2/12/03;9/16/99;;9/16/99;;12/9/13;2012;Vastgesteld jaarstuk;E&Y;2012;16.868.000;-1.348.000;15.264.000;;;
Stichting Blijf Groep;341265090000;000029019303;808740179;Stichting Blijf Groep;Stichting;H;Ingeschreven;87902;Maatschappelijk opvang met overnachting;;;;;Geactiveerd;Eerste Ringdijkstraat;5;C;1097BC;AMSTERDAM;Eerste Ringdijkstraat;5;C;1097BC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5210150;www.blijfgroep.nl;Bestuurder;A.;van den;Brink;V;;171;;0;N;N;;1/20/14;12/29/99;;12/30/99;;;;;PwC;2013;16.861.150;348.070;6.920.460;;ING Bank;
TD Bank N.V.;331753960000;000016478908;802176288;TD Bank N.V.;N.V.;H;Ingeschreven;64194;Algemene banken;;;;;;Strawinskylaan;1103;Tower A/11th;1077XX;AMSTERDAM;Strawinskylaan;1103;Tower A/11th;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3018410;;Bestuurder;Y.;;Sawaya;M;;12;5-9;1;N;N;;2/2/84;12/14/83;;12/14/83;;9/25/04;2013;Vastgesteld jaarstuk;E&Y;2013;16.859.950;8.934.688;10.623.884.059;;ABN AMRO;
