Link;KvK/ID;Vestnr;RSIN;Vennootschapsnaam;Rechtsvorm;Hoofd/Neven;Status;SBI Hoofdact;Omschrijving (hoofdact);SBI Nevenact1;Omschrijving (nevenact1);SBI Nevenact2;Omschrijving (nevenact2);Non-Mailing;Straatnaam;Huisnr;Toevoeging huisnr;Postcode;Woonplaats;Straatnaam CA;Huisnr CA;Toevoeg huisnr CA;Postcode CA;Woonplaats CA;Gemeente;Provincie;Landcode;Tel. Netnr.;Tel. Abnnr.;Domeinnaam;Functie;Voorletters;Voorvoegsels;Achternaam;Sexe;Mobiel Nr.;Employees;Werknemers;Econ. Actief;Import;Export;Aantal Dochters;Datum Inschrijving;Datum akte oprichting;Datum opheffing;Datum oprichting;Datum voortzetting;Huidig adres;Dep. jaarstuk;Soort jaarstuk;Auditor;YearTPE;Turnover (€);Profit (€);Total assets (€);Stock exchange;Banks;Ultimate (Dutch) Parent
Trafigura Beheer B.V.;332369390000;000010303545;006263744;Trafigura Beheer B.V.;B.V.;H;Ingeschreven;46713;GH minerale olieproducten (geen brandst);6420;Financiële holdings;;;Geactiveerd;Gustav Mahlerplein;102;;1082MA;AMSTERDAM;Postbus;75117;;1070AC;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5041800;www.trafigura.com;Bestuurder;C.;;Dauphin;M;;5326;20-49;1;N;N;1;3/24/92;1/14/83;;1/14/83;;3/31/07;2013;Vastgesteld jaarstuk;E&Y;2014;94.242.670.776;767.824.688;29.226.227.249;;ABN AMRO;
IBM International Group B.V.;341253130000;000006332072;808615464;IBM International Group B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Johan Huizingalaan;765;;1066VH;AMSTERDAM;Postbus;9999;;1006CE;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5137415;;Bestuurder;P.N.J.;;Snoek;M;;188188;10-19;1;N;N;33;12/21/99;12/17/99;;12/17/99;;4/25/07;2013;Vastgesteld jaarstuk;PwC;2013;51.671.803.273;6.750.244.479;45.744.021.869;;;
Louis Dreyfus Holding B.V.;342741270000;000017599415;817984604;Louis Dreyfus Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Zuidplein;208;WTC, H-25;1077XV;AMSTERDAM;Zuidplein;208;WTC, H-25;1077XV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3330021;;Bestuurder;C.G.F.;;Caperton;M;;36028;5-9;1;N;N;3;5/19/10;5/18/07;;5/18/07;;6/8/10;2013;Vastgesteld jaarstuk;Deloitte;2013;49.573.118.785;156.399.634;17.412.106.745;;;
Gunvor International B.V.;342753730000;000018443974;818096731;Gunvor International B.V.;B.V.;H;Ingeschreven;46712;GH vloeibare en gasvormige brandstoffen;64301;Beleggingsinstell. in financiële activa;;;Geactiveerd;Barbara Strozzilaan;201;;1083HN;AMSTERDAM;Barbara Strozzilaan;201;;1083HN;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;2050170;www.gunvorgroup.com;Bestuurder;T.;;Törnqvist;M;;307;2-4;1;N;N;;6/5/07;7/10/07;;7/10/07;7/10/07;4/25/14;2012;;PwC;2010;43.554.316.469;50.132.772;5.446.779.726;;;
Bank of America, National Association;331081910000;000011094842;001418117;Bank of America, National Association;Buitenlandse op EG-vennootschap lijkende vennootsc;H;Ingeschreven;64194;Algemene banken;;;;;;Amstelplein;1;Rembrandt To;1096HA;AMSTERDAM;Postbus;1638;;1000BP;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5925666;www.bankofamerica.com;Bestuurder;B.T.;;Moynihan;M;;242000;10-19;1;N;N;;8/27/62;;;;;12/10/11;2013;Buitenland;PwC;2013;41.985.762.000;8.722.996.100;1.604.244.526.300;;;
Koninklijke Ahold N.V.;350003630000;000011878002;001028789;Koninklijke Ahold N.V.;N.V.;H;Ingeschreven;70102;Holdings (geen financiële);8219;Secretariële dienstverlening;;;Geactiveerd;Provincialeweg;11;;1506MA;ZAANDAM;Postbus;3000;;1500HA;ZAANDAM;Zaanstad;Noord-Holland;NL;088;6599111;www.ahold.com;Bestuurder;A.D.;;Boer;M;;123000;10-19;1;N;N;82;;4/29/20;;4/29/20;5/26/20;6/17/13;2012;Vastgesteld jaarstuk;Deloitte;2013;32.615.000.000;2.537.000.000;15.142.000.000;AEX, EuroNext;ABN AMRO, ING Bank;
Abbott Healthcare B.V.;320612640000;000017014123;005633187;Abbott Healthcare B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;C J van Houtenlaan;36;;1381CP;WEESP;Postbus;164;;1380AD;WEESP;Weesp;Noord-Holland;NL;0294;477000;;Bestuurder;M.M.;;Vrouwenvelder;V;;93;2-4;1;N;N;;10/19/95;12/24/80;;12/24/80;;11/14/00;2012;Vastgesteld jaarstuk;Deloitte;2012;30.550.991.103;4.568.729.675;51.514.741.743;;ABN AMRO, Fortis Bank;
Dell Global B.V.;332387390000;000016015495;802410789;Dell Global B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;64922;Volkskredietbanken/commerciële financ.;64301;Beleggingsinstell. in financiële activa;Geactiveerd;Transformatorweg;38;- 72;1014AK;AMSTERDAM;Transformatorweg;38;- 72;1014AK;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6745500;;Bestuurder;S.A.;;Creed;V;;790;;0;N;N;;6/9/92;5/14/92;;5/14/92;;11/1/05;2014;Vastgesteld jaarstuk;PwC;2014;29.044.732.014;-691.182.536;13.233.430.069;;Citybank;Dell Int. Holdings XII Cöoperatief UA
ING Groep N.V.;332310730000;000013701517;009549420;ING Groep N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;70101;Concerndiensten binnen eigen concern;;;Geactiveerd;Bijlmerplein;888;;1102MG;AMSTERDAM;Postbus;1800;;1000BV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5639111;;Bestuurder;P.G.;;Flynn;M;;74517;5-9;1;N;N;204;8/9/91;1/21/91;;1/21/91;;8/20/12;2013;Vastgesteld jaarstuk;Ernst & Young;2013;24.304.000.000;2.998.000.000;1.076.602.000.000;AEX, EuroNext, New York;ING Bank;
The Royal Bank of Scotland plc, The Neth. Br.;551033160000;000024794228;823550229;The Royal Bank of Scotland public limited company;Buitenlandse EG-vennootschap met onderneming in Ne;H;Ingeschreven;64194;Algemene banken;70101;Concerndiensten binnen eigen concern;;;;Gustav Mahlerlaan;350;;1082ME;AMSTERDAM;Postbus;12925;;1100AX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4649999;;Bestuurder;P.R.;;Hampton;M;;;1000>;1;N;N;;4/13/12;10/31/84;;10/31/84;;;2013;Vastgesteld jaarstuk;;2011;22.542.376.710;1.894.588.860;1.653.185.701.230;;;
Cisco Systems International B.V.;332832090000;000019211902;805065246;Cisco Systems International B.V.;B.V.;H;Ingeschreven;4651;GH computers, randapparatuur en software;6202;Advisering ohgv informatietechnologie;;;Geactiveerd;Haarlerbergweg;13;-19;1101CH;AMSTERDAM;Postbus;12678;;1100AR;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3571000;www.cisco.nl;Bestuurder;U.E.;;Carlsson;V;;1174;750-999;1;N;N;;8/20/96;7/3/96;;7/3/96;;6/3/02;2013;Vastgesteld jaarstuk;PwC;2013;20.055.860.590;227.928.813;7.158.189;;ABN AMRO;
Heineken Holding N.V.;330786240000;000006703992;001672022;Heineken Holding N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Tweede Weteringplantsoen;5;;1017ZD;AMSTERDAM;Tweede Weteringplantsoen;5;;1017ZD;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6221152;www.heineken.nl;Bestuurder;C.L.;de;Carvalho-Heineken;V;;80933;;0;N;N;;3/12/52;3/27/52;;3/27/52;3/27/52;5/19/83;2013;Vastgesteld jaarstuk;KPMG;2013;19.203.000.000;683.000.000;33.337.000.000;EuroNext;ABN AMRO;
Heineken N.V.;330114330000;000010159975;001631457;Heineken N.V.;N.V.;H;Ingeschreven;70102;Holdings (geen financiële);;;;;Geactiveerd;Tweede Weteringplantsoen;21;;1017ZD;AMSTERDAM;Postbus;28;;1000AA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5239239;;Bestuurder;J.F.M.L.;Van;Boxmeer;M;;80933;2-4;1;N;N;81;8/10/21;27-01-1873;;27-01-1873;;10/1/07;2013;Vastgesteld jaarstuk;KPMG;2013;19.203.000.000;1.364.000.000;33.337.000.000;AEX, EuroNext;ABN AMRO, MeesPierson;
VimpelCom Ltd.;343748350000;000007139012;821815568;VimpelCom Ltd.;Buitenlandse op EG-vennootschap lijkende vennootsc;H;Ingeschreven;64923;Participatiemaatschappijen;;;;;Geactiveerd;Claude Debussylaan;88;;1082MD;AMSTERDAM;Claude Debussylaan;88;;1082MD;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;7977200;;Bestuurder;J.O.;;Lunder;M;;58184;20-49;1;N;N;10;1/12/10;;;;;12/27/11;2013;;E&Y;2012;17.669.107.590;1.518.588.580;42.416.278.400;;;
RANDSTAD HOLDING N.V.;332161720000;000007574916;800077672;RANDSTAD HOLDING nv;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Diemermere;25;;1112TC;DIEMEN;Postbus;12600;;1100AP;AMSTERDAM;Diemen;Noord-Holland;NL;020;5695911;www.randstadholding.com;Bestuurder;R.J.;van de;Kraats;M;;28030;100-199;1;N;N;130;1/4/90;12/29/89;;12/29/89;;4/7/90;2013;Vastgesteld jaarstuk;PwC;2013;16.568.300.000;230.700.000;6.607.800.000;AEX, EuroNext;ABN AMRO, ING Bank;
Akzo Nobel N.V.;090078090000;000015438783;001824521;Akzo Nobel N.V.;N.V.;H;Ingeschreven;70102;Holdings (geen financiële);;;;;Geactiveerd;Strawinskylaan;2555;;1077ZZ;AMSTERDAM;Postbus;75730;ASBM-Kaptein;1070AS;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5027555;;Bestuurder;A.C.M.A.;;Büchner;M;;49560;;1;N;N;85;8/20/07;5/8/11;;5/8/11;;8/20/07;2013;Vastgesteld jaarstuk;KPMG;2013;14.590.000.000;724.000.000;16.063.000.000;AEX, EuroNext;ABN AMRO;
ING Bank N.V.;330314310000;000019531656;001028418;ING Bank N.V.;N.V.;H;Ingeschreven;64194;Algemene banken;6622;Assurantietussenpersonen;;;Geactiveerd;Bijlmerplein;888;;1102MG;AMSTERDAM;Postbus;1800;;1000BV;AMSTERDAM;Amsterdam;Noord-Holland;NL;0900;0933;;Bestuurder;J.V.;;Timmermans;M;;64373;200-499;1;N;N;;12/5/27;11/12/27;;11/12/27;;9/11/08;2013;Vastgesteld jaarstuk;Ernst & Young;2013;14.208.000.000;3.063.000.000;787.644.000.000;;ABN AMRO, ING Bank;ING Groep N.V.
Huawei Technologies Coöperatief UA;342700270000;000013630881;817771980;Huawei Technologies Coöperatief U.A.;Coöperatie;H;Ingeschreven;70101;Concerndiensten binnen eigen concern;70102;Holdings (geen financiële);64923;Participatiemaatschappijen;Geactiveerd;Karspeldreef;4;;1101CJ;AMSTERDAM;Karspeldreef;4;;1101CJ;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4300808;www.huawei.com;Bestuurder;W.;;Yan;N;;28687;20-49;1;N;N;2;3/23/07;3/21/07;;3/21/07;;;2013;Vastgesteld jaarstuk;KPMG;2013;13.733.868.000;607.661.000;10.859.712.000;;;
JT International Group Holding B.V.;320737480000;000019555601;807824100;JT International Group Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Bella Donna;4;;1181RM;AMSTELVEEN;Bella Donna;4;;1181RM;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;7213500;;Bestuurder;A.;;Saeki;N;;28480;;0;;;;7/28/14;4/6/99;;4/6/99;;7/28/14;2013;Vastgesteld jaarstuk;Deloitte;2013;10.198.068.400;1.285.060.400;23.769.801.900;;ABN AMRO;
Koninklijke Luchtvaart Maatschappij N.V.;330142860000;000013978020;001279749;Koninklijke Luchtvaart Maatschappij N.V.;N.V.;H;Ingeschreven;5110;Personenvervoer door de lucht;3030;Verv. vliegtuigen en onderdelen daarvoor;;;Geactiveerd;Amsterdamseweg;55;;1182GP;AMSTELVEEN;Postbus;7700;;1117ZL;SCHIPHOL;Amstelveen;Noord-Holland;NL;020;6499123;;Bestuurder;E.F.;;Varwijk;M;;30635;1000>;1;N;N;33;3/18/22;1/30/20;;1/30/20;;;2013;Vastgesteld jaarstuk;"KPMG; Deloitte";2013;9.688.000.000;132.000.000;9.609.000.000;;ABN AMRO, Fortis Bank, ING Bank;
Otra N.V.;331584920000;000005221587;001871882;Otra N.V.;N.V.;H;Ingeschreven;70102;Holdings (geen financiële);;;;;Geactiveerd;Bovenkerkerweg;10;- 12;1185XE;AMSTELVEEN;Postbus;22;;1180AA;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5450702;;Bestuurder;F.P.M.;;Poncet;M;;20058;5-9;1;N;N;23;12/17/79;9/10/09;;9/10/09;12/23/69;4/2/01;2013;Vastgesteld jaarstuk;KPMG;2013;9.617.000.000;314.000.000;6.495.000.000;;ABN AMRO;
Lidl;320614460000;000000500755;804079043;Lidl Nederland GmbH;Buitenlandse EG-vennootschap met onderneming in Ne;H;Ingeschreven;47299;Gesp. winkels in ov. voedings-/genotm.;;;;;;Havenstraat;71;;1271AD;HUIZEN;Postbus;198;;1270AD;HUIZEN;Huizen;Noord-Holland;NL;0800;5435463;;Bestuurder;M.A.;;Oosterwijk;M;;12387;1000>;1;N;N;4;11/9/95;;;;;9/3/12;2008;Buitenland;E&Y;2007;8.978.466.000;-586.000;3.486.358.000;;ABN AMRO, Rabobank, ING Bank;
BNP Paribas Netherlands;331482460000;000010335056;003908902;BNP PARIBAS S.A.;Buitenlandse EG-vennootschap met onderneming in Ne;H;Ingeschreven;64194;Algemene banken;;;;;;Herengracht;595;;1017CE;AMSTERDAM;Postbus;10042;;1001EA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5501212;www.bnpparibas.nl;Bestuurder;B.F.D.C.;;Prot;M;;140;100-199;1;N;N;1;4/19/99;;;;;7/4/11;2012;Buitenland;Deloitte;2012;8.582.000.000;5.812.000.000;1.187.313.000.000;;Bank BNP Paribas, ING Bank;
Canon Europa N.V.;331667210000;000017571618;005916343;Canon Europa N.V.;N.V.;H;Ingeschreven;46434;Groothandel in fotografische artikelen;;;;;Geactiveerd;Bovenkerkerweg;59;;1185XB;AMSTELVEEN;Postbus;2262;;1180EG;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5458545;;Bestuurder;P.A.M.M.;;Buenen;M;;15401;500-749;1;N;J;;1/18/82;12/31/81;;12/31/81;;8/8/88;2013;Vastgesteld jaarstuk;E&Y;2013;8.563.088.000;40.566.000;4.689.614.000;;ABN AMRO;
Int. Petroleum Products (IPP) Holding B.V.;342956950000;000018353592;819090785;International Petroleum Products (IPP) Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Herengracht;498;;1017CB;AMSTERDAM;Herengracht;498;;1017CB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5356080;;Bestuurder;D.;;Jonker;M;;18;;0;N;N;;2/25/08;2/15/08;;2/15/08;;;2013;Vastgesteld jaarstuk;Mazars;2013;8.417.614.927;135.877.586;498.604.198;;;
International Petroleum Products (IPP) B.V.;342880470000;000017841852;818732234;International Petroleum Products (IPP) B.V.;B.V.;H;Ingeschreven;46712;GH vloeibare en gasvormige brandstoffen;;;;;;Herengracht;498;;1017CB;AMSTERDAM;Herengracht;498;;1017CB;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5356080;;Bestuurder;D.;;Jonker;M;;19;2-4;1;J;J;;12/3/07;2/15/08;;2/15/08;2/15/08;;2013;Vastgesteld jaarstuk;Mazars;2013;8.417.614.927;135.921.083;498.604.198;;;
Merck Sharp & Dohme Int. Services B.V.;340861690000;000013260596;802645033;Merck Sharp & Dohme International Services B.V.;B.V.;H;Ingeschreven;2120;Verv. farmaceutische producten;46461;Groothandel in farmaceutische producten;;;;Waarderweg;39;;2031BN;HAARLEM;Postbus;581;;2003PC;HAARLEM;Haarlem;Noord-Holland;NL;023;5682200;;Bestuurder;F.R.M.;;Mattijssen;M;;41;50-99;1;N;N;;2/25/94;3/31/94;;3/31/94;3/31/94;4/1/14;2013;Vastgesteld jaarstuk;PwC;2013;8.156.075.374;1.626.929;6.205.581.854;;ABN AMRO;
CRH Nederland B.V.;280688780004;000022781943;002059642;CRH Nederland B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Claude Debussylaan;94;;1082MD;AMSTERDAM;Claude Debussylaan;94;;1082MD;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5708610;;Bestuurder;C.J.M.;;Verburg;M;;33817;5-9;1;N;N;;6/6/11;9/28/70;;9/28/70;;8/1/13;2013;Vastgesteld jaarstuk;E&Y;2012;8.016.000.000;-699.000.000;11.747.000.000;;;CRH International B.V.
Allianz Europe B.V.;342363830000;000019458207;815040532;Allianz Europe B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Keizersgracht;484;;1017EH;AMSTERDAM;Keizersgracht;484;;1017EH;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5569715;;Bestuurder;J.C.M.;;Zarnitz;M;;5;;0;N;N;;11/11/05;11/10/05;;11/10/05;;;2013;Vastgesteld jaarstuk;KPMG;2013;7.633.287.000;5.264.068.000;44.355.759.000;;;
Global Mobility Holding B.V.;342123880000;000017884713;814024853;Global Mobility Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Herengracht;495;;1017BT;AMSTERDAM;Herengracht;495;;1017BT;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6239982;;Bestuurder;G.R.;de;Neidels-Kahmann;V;;6203;;0;N;N;;9/3/04;11/4/04;;11/4/04;11/4/04;;2013;Vastgesteld jaarstuk;PwC;2013;7.421.546.000;300.010.000;20.059.552.000;;;
ABN AMRO Group N.V.;343705150000;000016238052;821725774;ABN AMRO Group N.V.;N.V.;H;Ingeschreven;64194;Algemene banken;;;;;Geactiveerd;Gustav Mahlerlaan;10;HQ 1210;1082PP;AMSTERDAM;Postbus;283;;1000EA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;6289393;;Bestuurder;J.;van;Hall;M;;22289;;0;N;N;;12/18/09;12/18/09;;12/18/09;;11/24/10;2014;Vastgesteld jaarstuk;KPMG;2013;7.324.000.000;1.162.000.000;372.022.000.000;;;
Reed Elsevier N.V.;331550370000;000013047256;004882829;Reed Elsevier N.V.;N.V.;H;Ingeschreven;70102;Holdings (geen financiële);64922;Volkskredietbanken/commerciële financ.;;;;Radarweg;29;;1043NX;AMSTERDAM;Postbus;470;;1000AL;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;4852222;www.reedelsevier.com;Bestuurder;E.N.;;Engström;M;;28200;2-4;0;N;N;2;1/23/79;1/23/79;;1/23/79;;9/27/04;2014;;Deloitte;2013;7.121.000.000;1.310.000.000;12.594.000.000;AEX, EuroNext, London, New York;ABN AMRO, MeesPierson;
KMG International N.V.;242977540000;000017069262;808283662;KMG International N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Strawinskylaan;807;Tower A-8;1077XX;AMSTERDAM;Strawinskylaan;807;Tower A-8;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5752390;;Bestuurder;J.F.L.;;Frowein;M;;7448;;0;N;N;;1/10/06;11/4/99;;11/4/99;;12/22/05;2012;Vastgesteld jaarstuk;Ernst & Young;2012;7.094.167.538;-119.484.031;2.632.895.614;;;Coöperatieve KazMunaiGaz UA
Hewlett-Packard Munich B.V.;343161890000;000017379431;820058063;Hewlett-Packard Munich B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Startbaan;16;;1187XR;AMSTELVEEN;Startbaan;16;;1187XR;AMSTELVEEN;Amstelveen;Noord-Holland;NL;020;5476911;;Bestuurder;S.E.;;Letelier;M;;;;0;N;N;;11/5/08;11/3/08;;11/3/08;;;2013;Vastgesteld jaarstuk;E&Y;2013;6.968.682.617;11.420.137.947;74.808.174.177;;;
TNT Express N.V.;332672400000;000016946197;803794216;TNT Express N.V.;N.V.;H;Ingeschreven;64923;Participatiemaatschappijen;6420;Financiële holdings;;;Geactiveerd;Taurusavenue;111;;2132LS;HOOFDDORP;Postbus;13000;;1100KG;AMSTERDAM;Haarlemmermeer;Noord-Holland;NL;088;3939000;;Bestuurder;L.W.;;Gunning;M;;61239;;0;N;N;31;3/9/95;3/6/95;;3/6/95;;3/7/11;2013;Vastgesteld jaarstuk;PwC;2013;6.693.000.000;-122.000.000;4.250.000.000;EuroNext, New York;ABN AMRO;
Eni International B.V.;332649340000;000019028989;803659829;Eni International B.V.;B.V.;H;Ingeschreven;70102;Holdings (geen financiële);910;Dienstverl. winning aardolie en aardgas;46712;GH vloeibare en gasvormige brandstoffen;Geactiveerd;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5706000;;Bestuurder;R.;;Ulissi;M;;41;20-49;1;N;N;;1/2/95;12/22/94;;12/22/94;;4/13/05;2013;Vastgesteld jaarstuk;E&Y;2013;6.684.028.003;6.659.008.243;33.925.933.376;;ABN AMRO;
Tetra Laval Holdings B.V.;332664960000;000006379729;006829636;Tetra Laval Holdings B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Herikerbergweg;108;A;1101CM;AMSTERDAM;Postbus;12159;;1100AD;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;3016777;;Bestuurder;M.;;Häfliger;M;;12588;2-4;1;N;N;8;2/10/95;5/4/84;;5/4/84;5/4/84;6/1/08;2013;Vastgesteld jaarstuk;E&Y;2013;6.644.464.000;120.226.000;3.992.777.000;;ING Bank;
American Express International Inc.;331370000000;000004071689;001414446;American Express International Inc.;Buitenlandse op EG-vennootschap lijkende vennootsc;H;Ingeschreven;7911;Reisbemiddeling;6622;Assurantietussenpersonen;;;Geactiveerd;Hoogoorddreef;15;Atlas-Arena;1101BA;AMSTERDAM;Hoogoorddreef;15;Atlas-Arena;1101BA;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5048012;;Bestuurder;C.V.;;Schwartz;V;;;50-99;1;N;N;;11/16/73;;;;;8/23/10;2013;Buitenland;;2013;6.637.000.000;476.000.000;25.383.000.000;;ABN AMRO;
STMicroelectronics N.V.;331945370000;000013948571;008751171;STMicroelectronics N.V.;N.V.;H;Ingeschreven;6420;Financiële holdings;64923;Participatiemaatschappijen;;;Geactiveerd;Schiphol Boulevard;265;;1118BH;SCHIPHOL;Schiphol Boulevard;265;;1118BH;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;6543210;www.st.com;Bestuurder;C.;;Bozotti;M;;45390;;0;N;N;4;7/9/87;5/21/87;;5/21/87;;10/15/13;2013;Vastgesteld jaarstuk;PwC;2013;6.167.374.200;-381.550.000;6.999.916.300;EuroNext, Milan, New York;;
DTEK Holdings B.V.;343348950000;000017496853;820670017;DTEK ENERGY B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Schiphol Boulevard;231;Tower B, fif;1118BH;SCHIPHOL;Schiphol Boulevard;231;Tower B, fif;1118BH;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;4054747;www.dtek.com;;;;;;;131435;;0;N;N;;4/16/09;4/15/09;;4/15/09;;10/3/14;2013;Vastgesteld jaarstuk;PwC;2013;5.687.454.990;207.928.462;5.937.318.604;;;
BNP Paribas Fortis, Netherlands Branch;577949600000;000027201686;852739230;BNP Paribas Fortis SA/NV;Buitenlandse EG-vennootschap met onderneming in Ne;H;Ingeschreven;64194;Algemene banken;6499;Overige financiële intermediatie;;;;Herengracht;595;;1017CE;AMSTERDAM;Postbus;10042;;1001EA;AMSTERDAM;Amsterdam;Noord-Holland;NL;088;7380000;www.bnpparibasfortis.com;Bestuurder;M.A.A.O.M.G.;;Jadot;M;020-5501212;18671;100-199;1;N;N;6;4/24/13;12/5/34;;12/5/34;;;2011;Buitenland;Deloitte, PwC;2011;5.679.707.000;72.479.000;300.648.140.000;;;
Eni Algeria Exploration B.V.;332762600000;000017393221;804884882;Eni Algeria Exploration B.V.;B.V.;H;Ingeschreven;610;Winning van aardolie;;;;;;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707100;;Bestuurder;R.;;Castriota;M;;;;0;N;N;;1/9/96;12/15/95;;12/15/95;;4/13/05;2013;Vastgesteld jaarstuk;E&Y;2013;5.657.411.258;1.170.142.882;3.248.777.680;;;
Eni North Africa B.V.;332762630000;000020536976;804646338;Eni North Africa B.V.;B.V.;H;Ingeschreven;50201;"Zee-/kustvaart(vracht/tank; geen sleep)";;;;;Geactiveerd;Strawinskylaan;1725;;1077XX;AMSTERDAM;Strawinskylaan;1725;;1077XX;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5707100;;Bestuurder;R.;;Castriota;M;;114;;0;N;N;;1/9/96;12/15/95;;12/15/95;;11/25/05;2013;Vastgesteld jaarstuk;E&Y;2013;5.657.411.258;1.170.142.882;3.248.777.680;;;
Nike European Operations Netherlands B.V.;320579980000;000017151848;802820323;Nike European Operations Netherlands B.V.;B.V.;H;Ingeschreven;46496;GH sportartikelen (geen watersport);;;;;;Colosseum;1;;1213NL;HILVERSUM;Postbus;6453;;1200HJ;HILVERSUM;Hilversum;Noord-Holland;NL;035;6266453;;Bestuurder;T.D.H.;;Nullmeier;M;0800-0205858;7241;1000>;1;J;J;;8/25/94;9/22/94;;9/22/94;9/22/94;9/1/99;2014;Vastgesteld jaarstuk;PwC;2014;5.528.056.000;574.715.000;2.819.763.000;;ABN AMRO;NIKE Victory Coöperatief UA
Tata Steel Nederland B.V.;340052780000;000020570295;006373926;Tata Steel Nederland B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;Geactiveerd;Wenckebachstraat;1;;1951JZ;VELSEN-NOORD;Postbus;10000;;1970CA;IJMUIDEN;Velsen;Noord-Holland;NL;0251;499111;;Bestuurder;T.J.;;Henrar;M;;12229;;1;N;N;;12/17/23;9/20/18;;9/20/18;;1/1/00;2014;Vastgesteld jaarstuk;Deloitte;2014;5.248.000.000;116.000.000;4.135.000.000;;ABN AMRO;
Vivo Energy Holding B.V.;517659420000;000021752060;850161228;Vivo Energy Holding B.V.;B.V.;H;Ingeschreven;6420;Financiële holdings;;;;;;Teleportboulevard;140;;1043EJ;AMSTERDAM;Postbus;2838;;1000CV;AMSTERDAM;Amsterdam;Noord-Holland;NL;020;5405800;;Bestuurder;G.R.;;Skern;M;;2233;;0;N;N;10;6/13/12;1/12/11;;1/12/11;;6/11/12;2013;Vastgesteld jaarstuk;PwC;2013;4.946.933.108;22.883.843;1.800.429.142;;;
Cargill B.V.;331196220000;000013878018;002176816;Cargill B.V.;B.V.;H;Ingeschreven;10822;Verv. chocolade en suikerwerk;;;;;Geactiveerd;Evert van de Beekstraat;378;;1118CZ;SCHIPHOL;Postbus;75840;;1118ZZ;SCHIPHOL;Haarlemmermeer;Noord-Holland;NL;020;5006000;;Bestuurder;P.L.;;Naar;M;;1959;500-749;1;N;N;;5/17/67;3/29/67;;3/29/67;9/20/72;1/28/13;2014;Vastgesteld jaarstuk;KPMG;2014;4.916.255.000;-35.333.000;1.883.655.000;;Fortis Bank, ING Bank;
